S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4219,23/03/2020,Karnataka,33,30,2,1
4220,24/03/2020,Karnataka,37,34,2,1
4221,25/03/2020,Karnataka,37,33,3,1
4222,26/03/2020,Karnataka,41,37,3,1
4223,27/03/2020,Karnataka,55,50,3,2
4224,28/03/2020,Karnataka,55,50,3,2
4225,29/03/2020,Karnataka,76,68,5,3
4226,30/03/2020,Karnataka,80,72,5,3
4227,31/03/2020,Karnataka,83,75,5,3
4228,01/04/2020,Karnataka,101,90,8,3
4229,02/04/2020,Karnataka,110,98,9,3
4230,03/04/2020,Karnataka,124,111,10,3
4231,04/04/2020,Karnataka,128,113,12,3
4232,05/04/2020,Karnataka,144,128,12,4
4233,06/04/2020,Karnataka,151,135,12,4
4234,07/04/2020,Karnataka,151,135,12,4
4235,08/04/2020,Karnataka,175,146,25,4
4236,09/04/2020,Karnataka,181,148,28,5
4237,10/04/2020,Karnataka,181,148,28,5
4238,11/04/2020,Karnataka,207,170,31,6
4239,12/04/2020,Karnataka,214,171,37,6
4240,13/04/2020,Karnataka,232,169,57,6
4241,14/04/2020,Karnataka,247,182,59,6
4242,15/04/2020,Karnataka,260,179,71,10
4243,16/04/2020,Karnataka,279,187,80,12
4244,17/04/2020,Karnataka,315,220,82,13
4245,18/04/2020,Karnataka,359,257,89,13
4246,19/04/2020,Karnataka,384,266,104,14
4247,20/04/2020,Karnataka,390,263,111,16
4248,21/04/2020,Karnataka,408,280,112,16
4249,22/04/2020,Karnataka,418,272,129,17
4250,23/04/2020,Karnataka,427,279,131,17
4251,24/04/2020,Karnataka,445,283,145,17
4252,25/04/2020,Karnataka,474,304,152,18
4253,26/04/2020,Karnataka,500,324,158,18
4254,27/04/2020,Karnataka,503,302,182,19
4255,28/04/2020,Karnataka,512,299,193,20
4256,29/04/2020,Karnataka,523,296,207,20
4257,30/04/2020,Karnataka,535,298,216,21
4258,01/05/2020,Karnataka,565,315,229,21
4259,02/05/2020,Karnataka,589,316,251,22
4260,03/05/2020,Karnataka,601,305,271,25
4261,04/05/2020,Karnataka,614,296,293,25
4262,05/05/2020,Karnataka,651,303,321,27
4263,06/05/2020,Karnataka,671,311,331,29
4264,07/05/2020,Karnataka,693,310,354,29
4265,08/05/2020,Karnataka,705,309,366,30
4266,09/05/2020,Karnataka,753,347,376,30
4267,10/05/2020,Karnataka,794,378,386,30
4268,11/05/2020,Karnataka,848,393,424,31
4269,12/05/2020,Karnataka,862,405,426,31
4270,13/05/2020,Karnataka,925,461,433,31
4271,14/05/2020,Karnataka,959,475,451,33
4272,15/05/2020,Karnataka,987,492,460,35
4273,16/05/2020,Karnataka,1056,540,480,36
4274,17/05/2020,Karnataka,1092,560,496,36
4275,18/05/2020,Karnataka,1147,601,509,37
4276,19/05/2020,Karnataka,1246,679,530,37
4277,20/05/2020,Karnataka,1397,813,544,40
4278,21/05/2020,Karnataka,1462,865,556,41
4279,22/05/2020,Karnataka,1605,993,571,41
4280,23/05/2020,Karnataka,1743,1105,597,41
4281,24/05/2020,Karnataka,1959,1309,608,42
4282,25/05/2020,Karnataka,2089,1393,654,42
4283,26/05/2020,Karnataka,2182,1433,705,44
4284,27/05/2020,Karnataka,2283,1491,748,44
4285,28/05/2020,Karnataka,2418,1590,781,47
4286,29/05/2020,Karnataka,2533,1652,834,47
4287,30/05/2020,Karnataka,2781,1839,894,48
4288,31/05/2020,Karnataka,2922,1877,997,48
4289,01/06/2020,Karnataka,3221,1952,1218,51
4290,02/06/2020,Karnataka,3408,2028,1328,52
4291,03/06/2020,Karnataka,3796,2341,1403,52
4292,04/06/2020,Karnataka,4063,2496,1514,53
4293,05/06/2020,Karnataka,4320,2653,1610,57
4294,06/06/2020,Karnataka,4835,3090,1688,57
4295,07/06/2020,Karnataka,5213,3186,1968,59
4296,08/06/2020,Karnataka,5452,3259,2132,61
4297,09/06/2020,Karnataka,5760,3177,2519,64
4298,10/06/2020,Karnataka,5921,3251,2604,66
4299,11/06/2020,Karnataka,6041,3110,2862,69
4300,12/06/2020,Karnataka,6245,3196,2977,72
4301,13/06/2020,Karnataka,6516,2997,3440,79
4302,14/06/2020,Karnataka,6824,3095,3648,81
4303,15/06/2020,Karnataka,7000,2959,3955,86
4304,16/06/2020,Karnataka,7213,2989,4135,89
4305,17/06/2020,Karnataka,7530,2980,4456,94
4306,18/06/2020,Karnataka,7734,2828,4804,102
4307,19/06/2020,Karnataka,7944,2847,4983,114
4308,20/06/2020,Karnataka,8281,2947,5210,124
4309,21/06/2020,Karnataka,8697,3174,5391,132
4310,22/06/2020,Karnataka,9150,3395,5618,137
4311,23/06/2020,Karnataka,9399,3527,5730,142
4312,24/06/2020,Karnataka,9721,3567,6004,150
4313,25/06/2020,Karnataka,10118,3803,6151,164
4314,26/06/2020,Karnataka,10560,3720,6670,170
4315,27/06/2020,Karnataka,11005,3909,6916,180
4316,28/06/2020,Karnataka,11923,4445,7287,191
4317,29/06/2020,Karnataka,13190,5476,7507,207
4318,30/06/2020,Karnataka,14295,6386,7683,226
4319,01/07/2020,Karnataka,15242,7078,7918,246
4320,02/07/2020,Karnataka,16514,8198,8063,253
4321,03/07/2020,Karnataka,18016,9410,8334,272
4322,04/07/2020,Karnataka,19710,10612,8805,293
4323,05/07/2020,Karnataka,21549,11970,9244,335
4324,06/07/2020,Karnataka,23474,13255,9847,372
4325,07/07/2020,Karnataka,25317,14389,10527,401
4326,08/07/2020,Karnataka,26815,15301,11098,416
4327,09/07/2020,Karnataka,28877,16531,11876,470
4328,10/07/2020,Karnataka,31105,17786,12833,486
4329,11/07/2020,Karnataka,33418,19039,13836,543
4330,12/07/2020,Karnataka,36216,20887,14716,613
4331,13/07/2020,Karnataka,38843,22750,15409,684
4332,14/07/2020,Karnataka,41581,24576,16248,757
4333,15/07/2020,Karnataka,44077,25845,17390,842
4334,16/07/2020,Karnataka,47253,27859,18466,928
4335,17/07/2020,Karnataka,51422,30661,19729,1032
4336,18/07/2020,Karnataka,55115,33211,20757,1147
4337,19/07/2020,Karnataka,59652,36637,21775,1240
4338,20/07/2020,Karnataka,63772,39376,23065,1331
4339,21/07/2020,Karnataka,67420,42222,23795,1403
4340,22/07/2020,Karnataka,71069,44146,25459,1464
4341,23/07/2020,Karnataka,75833,47075,27239,1519
4342,24/07/2020,Karnataka,80863,49937,29310,1616
4343,25/07/2020,Karnataka,85870,52799,31347,1724
4344,26/07/2020,Karnataka,90942,55396,33750,1796
4345,27/07/2020,Karnataka,96141,58425,35838,1878
4346,28/07/2020,Karnataka,101465,61827,37685,1953
4347,29/07/2020,Karnataka,107001,64442,40504,2055
4348,30/07/2020,Karnataka,112504,67456,42901,2147
4349,31/07/2020,Karnataka,118632,69708,46694,2230
4350,01/08/2020,Karnataka,124115,72013,49788,2314
4351,02/08/2020,Karnataka,129287,73227,53648,2412
4352,03/08/2020,Karnataka,134819,74598,57725,2496
4353,04/08/2020,Karnataka,139571,74477,62500,2594
4354,05/08/2020,Karnataka,145830,73854,69272,2704
4355,06/08/2020,Karnataka,151449,73966,74679,2804
4356,07/08/2020,Karnataka,158254,75076,80281,2897
4357,08/08/2020,Karnataka,164924,77694,84232,2998
4358,09/08/2020,Karnataka,172102,79773,89238,3091
4359,10/08/2020,Karnataka,178087,80981,93908,3198
4360,11/08/2020,Karnataka,182354,79916,99126,3312
4361,12/08/2020,Karnataka,188611,79614,105599,3398
4362,13/08/2020,Karnataka,196494,80351,112633,3510
4363,14/08/2020,Karnataka,203200,78345,121242,3613
4364,15/08/2020,Karnataka,211108,79209,128182,3717
4365,16/08/2020,Karnataka,219926,81284,134811,3831
4366,17/08/2020,Karnataka,226966,81528,141491,3947
4367,18/08/2020,Karnataka,233283,80659,148562,4062
4368,19/08/2020,Karnataka,240948,79798,156949,4201
4369,20/08/2020,Karnataka,249590,81113,164150,4327
4370,21/08/2020,Karnataka,256975,82165,170381,4429
4371,22/08/2020,Karnataka,264546,83082,176942,4522
4372,23/08/2020,Karnataka,271876,82693,184568,4615
4373,24/08/2020,Karnataka,277814,83567,189564,4683
4374,25/08/2020,Karnataka,283665,81230,197625,4810
4375,26/08/2020,Karnataka,291826,82429,204439,4958
4376,27/08/2020,Karnataka,300406,83627,211688,5091
4377,28/08/2020,Karnataka,309792,85006,219554,5232
4378,29/08/2020,Karnataka,318752,86366,227018,5368
4379,30/08/2020,Karnataka,327076,86465,235128,5483
4380,31/08/2020,Karnataka,335928,88110,242229,5589
4381,01/09/2020,Karnataka,342423,87254,249467,5702
4382,02/09/2020,Karnataka,351481,91018,254626,5837
4383,03/09/2020,Karnataka,361341,94478,260913,5950
4384,04/09/2020,Karnataka,370206,96117,268035,6054
4385,05/09/2020,Karnataka,379486,99120,274196,6170
4386,06/09/2020,Karnataka,389232,99636,283298,6298
4387,07/09/2020,Karnataka,398551,99285,292873,6393
4388,08/09/2020,Karnataka,404324,97020,300770,6534
4389,09/09/2020,Karnataka,412190,96937,308573,6680
4390,10/09/2020,Karnataka,421730,99489,315433,6808
4391,11/09/2020,Karnataka,430947,101556,322454,6937
4392,12/09/2020,Karnataka,440411,98345,334999,7067
4393,13/09/2020,Karnataka,449551,97834,344556,7161
4394,14/09/2020,Karnataka,459445,99222,352958,7265
4395,15/09/2020,Karnataka,467689,98482,361823,7384
4396,16/09/2020,Karnataka,475265,98555,369229,7481
4397,17/09/2020,Karnataka,484990,101645,375809,7536
4398,18/09/2020,Karnataka,494356,103650,383077,7629
4399,19/09/2020,Karnataka,502982,101148,394026,7808
4400,20/09/2020,Karnataka,511346,98583,404841,7922
4401,21/09/2020,Karnataka,519537,98062,413452,8023
4402,22/09/2020,Karnataka,526876,95354,423377,8145
4403,23/09/2020,Karnataka,533850,93172,432450,8228
4404,24/09/2020,Karnataka,540847,94671,437910,8266
4405,25/09/2020,Karnataka,548557,95568,444658,8331
4406,26/09/2020,Karnataka,557212,98493,450302,8417
4407,27/09/2020,Karnataka,566023,101801,455719,8503
4408,28/09/2020,Karnataka,575566,104743,462241,8582
4409,29/09/2020,Karnataka,582458,104067,469750,8641
4410,30/09/2020,Karnataka,592911,107756,476378,8777
4411,01/10/2020,Karnataka,601767,107635,485268,8864
4412,02/10/2020,Karnataka,611837,110431,492412,8994
4413,03/10/2020,Karnataka,620630,112005,499506,9119
4414,04/10/2020,Karnataka,630516,112802,508495,9219
4415,05/10/2020,Karnataka,640661,115593,515782,9286
4416,06/10/2020,Karnataka,647712,115496,522846,9370
4417,07/10/2020,Karnataka,657705,115170,533074,9461
4418,08/10/2020,Karnataka,668652,116172,542906,9574
4419,09/10/2020,Karnataka,679356,117162,552519,9675
4420,10/10/2020,Karnataka,690269,118870,561610,9789
4421,11/10/2020,Karnataka,700786,120948,569947,9891
4422,12/10/2020,Karnataka,710309,120289,580054,9966
4423,13/10/2020,Karnataka,717915,115795,592084,10036
4424,14/10/2020,Karnataka,726106,113478,602505,10123
4425,15/10/2020,Karnataka,735371,114006,611167,10198
4426,16/10/2020,Karnataka,743848,113557,620008,10283
4427,17/10/2020,Karnataka,751390,112446,628588,10356
4428,18/10/2020,Karnataka,758574,110666,637481,10427
4429,19/10/2020,Karnataka,765586,109283,645825,10478
4430,20/10/2020,Karnataka,770604,106233,653829,10542
4431,21/10/2020,Karnataka,776901,103964,662329,10608
4432,22/10/2020,Karnataka,782773,100459,671618,10696
4433,23/10/2020,Karnataka,788551,92946,684835,10770
4434,24/10/2020,Karnataka,793907,89502,693584,10821
4435,25/10/2020,Karnataka,798378,86768,700737,10873
4436,26/10/2020,Karnataka,802817,81069,710843,10905
4437,27/10/2020,Karnataka,805947,75442,719558,10947
4438,28/10/2020,Karnataka,809638,71349,727298,10991
4439,29/10/2020,Karnataka,812784,68180,733558,11046
4440,30/10/2020,Karnataka,816809,64499,741219,11091
4441,31/10/2020,Karnataka,820398,59518,749740,11140
4442,01/11/2020,Karnataka,823412,55036,757208,11168
4443,02/11/2020,Karnataka,827064,50611,765261,11192
4444,03/11/2020,Karnataka,829640,44824,773595,11221
4445,04/11/2020,Karnataka,832396,40414,780735,11247
4446,05/11/2020,Karnataka,835773,35712,788780,11281
4447,06/11/2020,Karnataka,838929,33114,794503,11312
4448,07/11/2020,Karnataka,841889,33338,797204,11347
4449,08/11/2020,Karnataka,844147,33339,799439,11369
4450,09/11/2020,Karnataka,846887,33697,801799,11391
4451,10/11/2020,Karnataka,848850,32955,804485,11410
4452,11/11/2020,Karnataka,851212,31082,808700,11430
4453,12/11/2020,Karnataka,853796,30762,811581,11453
4454,13/11/2020,Karnataka,855912,29489,814949,11474
4455,14/11/2020,Karnataka,857928,28045,818392,11491
4456,15/11/2020,Karnataka,860082,27984,820590,11508
4457,16/11/2020,Karnataka,861647,27165,822953,11529
4458,17/11/2020,Karnataka,862804,26122,825141,11541
4459,18/11/2020,Karnataka,864140,25342,827241,11557
4460,19/11/2020,Karnataka,865931,25165,829188,11578
4461,20/11/2020,Karnataka,867780,25188,830988,11604
4462,21/11/2020,Karnataka,869561,24771,833169,11621
4463,22/11/2020,Karnataka,871342,24733,834968,11641
4464,23/11/2020,Karnataka,873046,24887,836505,11654
4465,24/11/2020,Karnataka,874555,24727,838150,11678
4466,25/11/2020,Karnataka,876425,24631,840099,11695
4467,26/11/2020,Karnataka,878055,24909,841432,11714
4468,27/11/2020,Karnataka,879560,25335,842499,11726
4469,28/11/2020,Karnataka,881086,25398,843950,11738
4470,29/11/2020,Karnataka,882608,24776,846082,11750
4471,30/11/2020,Karnataka,883899,24522,847612,11765
4472,01/12/2020,Karnataka,884897,23298,849821,11778
4473,02/12/2020,Karnataka,886227,23728,850707,11792
4474,03/12/2020,Karnataka,887667,24169,851690,11808
4475,04/12/2020,Karnataka,889113,24708,852584,11821
4476,05/12/2020,Karnataka,890360,25065,853461,11834
4477,06/12/2020,Karnataka,891685,24978,854861,11846
4478,07/12/2020,Karnataka,893006,25400,855750,11856
4479,08/12/2020,Karnataka,894004,24786,857351,11867
4480,09/12/2020,Karnataka,895284,25034,858370,11880
4481,10/12/2020,Karnataka,896563,23075,861588,11900
4482,11/12/2020,Karnataka,897801,19225,866664,11912
4483,12/03/2020,Kerala,17,14,3,0
4484,13/03/2020,Kerala,17,14,3,0
4485,14/03/2020,Kerala,19,16,3,0
4486,15/03/2020,Kerala,22,19,3,0
4487,16/03/2020,Kerala,23,20,3,0
4488,17/03/2020,Kerala,26,23,3,0
4489,18/03/2020,Kerala,27,24,3,0
4490,19/03/2020,Kerala,27,24,3,0
4491,20/03/2020,Kerala,28,25,3,0
4492,21/03/2020,Kerala,40,37,3,0
4493,22/03/2020,Kerala,52,49,3,0
4494,23/03/2020,Kerala,67,64,3,0
4495,24/03/2020,Kerala,95,91,4,0
4496,25/03/2020,Kerala,95,91,4,0
4497,26/03/2020,Kerala,118,114,4,0
4498,27/03/2020,Kerala,137,126,11,0
4499,28/03/2020,Kerala,176,165,11,0
4500,29/03/2020,Kerala,182,166,15,1
4501,30/03/2020,Kerala,194,174,19,1
4502,31/03/2020,Kerala,234,214,19,1
4503,01/04/2020,Kerala,241,216,23,2
4504,02/04/2020,Kerala,265,238,25,2
4505,03/04/2020,Kerala,286,257,27,2
4506,04/04/2020,Kerala,295,252,41,2
4507,05/04/2020,Kerala,306,255,49,2
4508,06/04/2020,Kerala,314,257,55,2
4509,07/04/2020,Kerala,327,267,58,2
4510,08/04/2020,Kerala,336,264,70,2
4511,09/04/2020,Kerala,345,260,83,2
4512,10/04/2020,Kerala,357,259,96,2
4513,11/04/2020,Kerala,364,239,123,2
4514,12/04/2020,Kerala,364,239,123,2
4515,13/04/2020,Kerala,376,195,179,2
4516,14/04/2020,Kerala,379,178,198,3
4517,15/04/2020,Kerala,387,173,211,3
4518,16/04/2020,Kerala,388,167,218,3
4519,17/04/2020,Kerala,395,147,245,3
4520,18/04/2020,Kerala,396,138,255,3
4521,19/04/2020,Kerala,400,140,257,3
4522,20/04/2020,Kerala,402,129,270,3
4523,21/04/2020,Kerala,408,114,291,3
4524,22/04/2020,Kerala,427,117,307,3
4525,23/04/2020,Kerala,438,112,323,3
4526,24/04/2020,Kerala,447,120,324,3
4527,25/04/2020,Kerala,450,116,331,3
4528,26/04/2020,Kerala,457,115,338,4
4529,27/04/2020,Kerala,458,116,338,4
4530,28/04/2020,Kerala,481,122,355,4
4531,29/04/2020,Kerala,485,122,359,4
4532,30/04/2020,Kerala,495,122,369,4
4533,01/05/2020,Kerala,497,110,383,4
4534,02/05/2020,Kerala,497,101,392,4
4535,03/05/2020,Kerala,499,95,400,4
4536,04/05/2020,Kerala,500,95,401,4
4537,05/05/2020,Kerala,500,34,462,4
4538,06/05/2020,Kerala,502,36,462,4
4539,07/05/2020,Kerala,503,30,469,4
4540,08/05/2020,Kerala,503,25,474,4
4541,09/05/2020,Kerala,503,15,484,4
4542,10/05/2020,Kerala,505,16,485,4
4543,11/05/2020,Kerala,512,19,489,4
4544,12/05/2020,Kerala,519,26,489,4
4545,13/05/2020,Kerala,524,31,489,4
4546,14/05/2020,Kerala,534,40,490,4
4547,15/05/2020,Kerala,560,65,491,4
4548,16/05/2020,Kerala,576,80,492,4
4549,17/05/2020,Kerala,587,88,495,4
4550,18/05/2020,Kerala,601,100,497,4
4551,19/05/2020,Kerala,630,129,497,4
4552,20/05/2020,Kerala,642,141,497,4
4553,21/05/2020,Kerala,666,160,502,4
4554,22/05/2020,Kerala,690,176,510,4
4555,23/05/2020,Kerala,732,216,512,4
4556,24/05/2020,Kerala,795,276,515,4
4557,25/05/2020,Kerala,847,322,521,4
4558,26/05/2020,Kerala,896,359,532,5
4559,27/05/2020,Kerala,963,415,542,6
4560,28/05/2020,Kerala,1004,445,552,7
4561,29/05/2020,Kerala,1088,526,555,7
4562,30/05/2020,Kerala,1150,577,565,8
4563,31/05/2020,Kerala,1208,624,575,9
4564,01/06/2020,Kerala,1269,670,590,9
4565,02/06/2020,Kerala,1326,708,608,10
4566,03/06/2020,Kerala,1412,774,627,11
4567,04/06/2020,Kerala,1494,832,651,11
4568,05/06/2020,Kerala,1588,884,690,14
4569,06/06/2020,Kerala,1699,973,712,14
4570,07/06/2020,Kerala,1807,1030,762,15
4571,08/06/2020,Kerala,1914,1096,803,15
4572,09/06/2020,Kerala,2005,1175,814,16
4573,10/06/2020,Kerala,2096,1232,848,16
4574,11/06/2020,Kerala,2161,1238,905,18
4575,12/06/2020,Kerala,2244,1258,968,18
4576,13/06/2020,Kerala,2322,1303,1000,19
4577,14/06/2020,Kerala,2407,1342,1046,19
4578,15/06/2020,Kerala,2461,1340,1102,19
4579,16/06/2020,Kerala,2543,1348,1175,20
4580,17/06/2020,Kerala,2622,1366,1236,20
4581,18/06/2020,Kerala,2697,1351,1326,20
4582,19/06/2020,Kerala,2794,1358,1415,21
4583,20/06/2020,Kerala,2912,1380,1511,21
4584,21/06/2020,Kerala,3039,1450,1568,21
4585,22/06/2020,Kerala,3172,1490,1661,21
4586,23/06/2020,Kerala,3310,1540,1749,21
4587,24/06/2020,Kerala,3451,1620,1809,22
4588,25/06/2020,Kerala,3603,1693,1888,22
4589,26/06/2020,Kerala,3726,1761,1943,22
4590,27/06/2020,Kerala,3876,1846,2008,22
4591,28/06/2020,Kerala,4071,1939,2110,22
4592,29/06/2020,Kerala,4189,2015,2152,22
4593,30/06/2020,Kerala,4189,2015,2152,22
4594,01/07/2020,Kerala,4442,2112,2306,24
4595,02/07/2020,Kerala,4593,2130,2439,24
4596,03/07/2020,Kerala,4753,2088,2640,25
4597,04/07/2020,Kerala,4964,2098,2841,25
4598,05/07/2020,Kerala,5204,2131,3048,25
4599,06/07/2020,Kerala,5429,2230,3174,25
4600,07/07/2020,Kerala,5622,2254,3341,27
4601,08/07/2020,Kerala,5894,2415,3452,27
4602,09/07/2020,Kerala,6195,2609,3559,27
4603,10/07/2020,Kerala,6534,2799,3708,27
4604,11/07/2020,Kerala,6950,3103,3820,27
4605,12/07/2020,Kerala,7438,3446,3963,29
4606,13/07/2020,Kerala,7873,3747,4095,31
4607,14/07/2020,Kerala,8322,4032,4257,33
4608,15/07/2020,Kerala,8930,4458,4438,34
4609,16/07/2020,Kerala,9553,4884,4634,35
4610,17/07/2020,Kerala,10275,5376,4862,37
4611,18/07/2020,Kerala,11066,6033,4995,38
4612,19/07/2020,Kerala,11659,6420,5199,40
4613,20/07/2020,Kerala,12480,7067,5371,42
4614,21/07/2020,Kerala,13274,7615,5616,43
4615,22/07/2020,Kerala,13994,8060,5890,44
4616,23/07/2020,Kerala,15032,8825,6162,45
4617,24/07/2020,Kerala,16110,9466,6594,50
4618,25/07/2020,Kerala,16995,9379,7562,54
4619,26/07/2020,Kerala,18098,9428,8611,59
4620,27/07/2020,Kerala,19025,9664,9300,61
4621,28/07/2020,Kerala,19727,9619,10045,63
4622,29/07/2020,Kerala,20894,10103,10724,67
4623,30/07/2020,Kerala,21797,10364,11365,68
4624,31/07/2020,Kerala,22303,10074,12159,70
4625,01/08/2020,Kerala,23613,10517,13023,73
4626,02/08/2020,Kerala,24742,10886,13775,81
4627,03/08/2020,Kerala,25911,11366,14463,82
4628,04/08/2020,Kerala,26873,11511,15278,84
4629,05/08/2020,Kerala,27956,11570,16299,87
4630,06/08/2020,Kerala,29151,11524,17533,94
4631,07/08/2020,Kerala,30449,12019,18333,97
4632,08/08/2020,Kerala,31700,12451,19147,102
4633,09/08/2020,Kerala,33120,12152,20862,106
4634,10/08/2020,Kerala,34331,12391,21832,108
4635,11/08/2020,Kerala,35515,12784,22616,115
4636,12/08/2020,Kerala,36932,12770,24042,120
4637,13/08/2020,Kerala,38144,13096,24922,126
4638,14/08/2020,Kerala,39708,13891,25688,129
4639,15/08/2020,Kerala,41277,14146,26992,139
4640,16/08/2020,Kerala,42885,14944,27795,146
4641,17/08/2020,Kerala,44415,15365,28894,156
4642,18/08/2020,Kerala,46140,15946,30025,169
4643,19/08/2020,Kerala,47898,16333,31390,175
4644,20/08/2020,Kerala,50231,17442,32607,182
4645,21/08/2020,Kerala,52199,18184,33824,191
4646,22/08/2020,Kerala,54182,18736,35243,203
4647,23/08/2020,Kerala,56354,19601,36535,218
4648,24/08/2020,Kerala,58262,20394,37645,223
4649,25/08/2020,Kerala,59504,20387,38883,234
4650,26/08/2020,Kerala,61879,21296,40339,244
4651,27/08/2020,Kerala,64355,22408,41690,257
4652,28/08/2020,Kerala,66761,22737,43757,267
4653,29/08/2020,Kerala,69304,23176,45854,274
4654,30/08/2020,Kerala,71701,23342,48079,280
4655,31/08/2020,Kerala,73855,23719,49849,287
4656,01/09/2020,Kerala,75385,23553,51538,294
4657,02/09/2020,Kerala,76525,22578,53649,298
4658,03/09/2020,Kerala,78072,21989,55778,305
4659,04/09/2020,Kerala,79625,21582,57728,315
4660,05/09/2020,Kerala,82104,21334,60444,326
4661,06/09/2020,Kerala,84759,21867,62555,337
4662,07/09/2020,Kerala,87841,22743,64751,347
4663,08/09/2020,Kerala,89489,22133,66997,359
4664,09/09/2020,Kerala,92515,23280,68863,372
4665,10/09/2020,Kerala,95917,24616,70917,384
4666,11/09/2020,Kerala,99266,26292,72578,396
4667,12/09/2020,Kerala,102254,27944,73900,410
4668,13/09/2020,Kerala,105139,28870,75844,425
4669,14/09/2020,Kerala,108278,30140,77699,439
4670,15/09/2020,Kerala,110818,30555,79809,454
4671,16/09/2020,Kerala,114033,31226,82341,466
4672,17/09/2020,Kerala,117863,32775,84608,480
4673,18/09/2020,Kerala,122214,34380,87345,489
4674,19/09/2020,Kerala,126381,35795,90085,501
4675,20/09/2020,Kerala,131005,37535,92951,519
4676,21/09/2020,Kerala,135721,39484,95702,535
4677,22/09/2020,Kerala,138631,39354,98724,553
4678,23/09/2020,Kerala,142756,40453,101731,572
4679,24/09/2020,Kerala,148132,42858,104682,592
4680,25/09/2020,Kerala,154456,45993,107850,613
4681,26/09/2020,Kerala,160933,48967,111331,635
4682,27/09/2020,Kerala,167939,52753,114530,656
4683,28/09/2020,Kerala,175384,56786,117921,677
4684,29/09/2020,Kerala,179922,57957,121268,697
4685,30/09/2020,Kerala,187276,61869,124688,719
4686,01/10/2020,Kerala,196106,67140,128224,742
4687,02/10/2020,Kerala,204241,72418,131052,771
4688,03/10/2020,Kerala,213499,77564,135144,791
4689,04/10/2020,Kerala,221333,80900,139620,813
4690,05/10/2020,Kerala,229886,84579,144471,836
4691,06/10/2020,Kerala,234928,84958,149111,859
4692,07/10/2020,Kerala,242799,87823,154092,884
4693,08/10/2020,Kerala,253405,92246,160253,906
4694,09/10/2020,Kerala,258850,90664,167256,930
4695,10/10/2020,Kerala,268100,91841,175304,955
4696,11/10/2020,Kerala,279855,96003,182874,978
4697,12/10/2020,Kerala,289202,96401,191798,1003
4698,13/10/2020,Kerala,295132,94473,199634,1025
4699,14/10/2020,Kerala,303896,95493,207357,1046
4700,15/10/2020,Kerala,310140,93925,215149,1066
4701,16/10/2020,Kerala,317929,94609,222231,1089
4702,17/10/2020,Kerala,325212,95101,228998,1113
4703,18/10/2020,Kerala,334228,96100,236989,1139
4704,19/10/2020,Kerala,341859,95299,245399,1161
4705,20/10/2020,Kerala,346881,92831,252868,1182
4706,21/10/2020,Kerala,353472,92023,260243,1206
4707,22/10/2020,Kerala,361841,93527,267082,1232
4708,23/10/2020,Kerala,369323,93393,274675,1255
4709,24/10/2020,Kerala,377834,95760,280793,1281
4710,25/10/2020,Kerala,386087,97520,287261,1306
4711,26/10/2020,Kerala,392930,96688,294910,1332
4712,27/10/2020,Kerala,397217,93848,302017,1352
4713,28/10/2020,Kerala,402674,92266,309032,1376
4714,29/10/2020,Kerala,411464,93369,316692,1403
4715,30/10/2020,Kerala,418484,91889,325166,1429
4716,31/10/2020,Kerala,425122,90671,332994,1457
4717,01/11/2020,Kerala,433105,91297,340324,1484
4718,02/11/2020,Kerala,440130,89783,348835,1512
4719,03/11/2020,Kerala,444268,86792,355943,1533
4720,04/11/2020,Kerala,451130,84826,364745,1559
4721,05/11/2020,Kerala,459646,85108,372951,1587
4722,06/11/2020,Kerala,466466,84203,380650,1613
4723,07/11/2020,Kerala,473468,83324,388504,1640
4724,08/11/2020,Kerala,480669,83377,395624,1668
4725,09/11/2020,Kerala,486109,81940,402477,1692
4726,10/11/2020,Kerala,489702,79528,408460,1714
4727,11/11/2020,Kerala,495712,78812,415158,1742
4728,12/11/2020,Kerala,502719,78538,422410,1771
4729,13/11/2020,Kerala,508256,77931,428529,1796
4730,14/11/2020,Kerala,514060,77508,434730,1822
4731,15/11/2020,Kerala,520417,77046,441523,1848
4732,16/11/2020,Kerala,524998,74922,448207,1869
4733,17/11/2020,Kerala,527708,71046,454774,1888
4734,18/11/2020,Kerala,533500,70191,461394,1915
4735,19/11/2020,Kerala,539919,69516,468460,1943
4736,20/11/2020,Kerala,545641,68352,475320,1969
4737,21/11/2020,Kerala,551669,67954,481718,1997
4738,22/11/2020,Kerala,557441,66982,488437,2022
4739,23/11/2020,Kerala,562695,65982,494664,2049
4740,24/11/2020,Kerala,566452,64292,500089,2071
4741,25/11/2020,Kerala,571872,64539,505238,2095
4742,26/11/2020,Kerala,578363,65234,511008,2121
4743,27/11/2020,Kerala,583741,64615,516978,2148
4744,28/11/2020,Kerala,587707,64014,521522,2171
4745,29/11/2020,Kerala,593957,64964,526797,2196
4746,30/11/2020,Kerala,599600,64719,532658,2223
4747,01/12/2020,Kerala,602982,62025,538713,2244
4748,02/12/2020,Kerala,608357,61223,544864,2270
4749,03/12/2020,Kerala,614673,61587,550788,2298
4750,04/12/2020,Kerala,620049,61342,556378,2329
4751,05/12/2020,Kerala,625767,61535,561874,2358
4752,06/12/2020,Kerala,631615,61531,567694,2390
4753,07/12/2020,Kerala,636392,61063,572911,2418
